Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VIRS,41,0,0.00,0,0.00,28.87,41,0
FUT,40,0,0.00,0,0.00,40.46,40,0
IVSG,29,0,0.00,0,0.00,12.14,29,0
TMDV,29,0,0.00,0,0.00,42.48,29,0
VFLQ,29,0,0.00,0,0.00,98.24,29,0
EUDV,25,0,0.00,0,0.00,47.49,25,0
PBDM,20,0,0.00,0,0.00,28.32,20,0
IMLP,14,0,0.00,0,0.00,10.38,14,0
DURA,13,0,0.00,0,0.00,28.64,13,0
IBMN,13,0,0.00,0,0.00,28.18,13,0
FEDX,11,0,0.00,0,0.00,26.50,11,0
HSRT,11,0,0.00,0,0.00,41.29,11,0
REC,9,0,0.00,0,0.00,25.33,9,0
AVDG,6,0,0.00,0,0.00,25.45,6,0
ESEB,5,0,0.00,0,0.00,22.28,5,0
RDFI,5,0,0.00,0,0.00,26.96,5,0
WIL,5,0,0.00,0,0.00,83.00,5,0
MBBB,4,0,0.00,0,0.00,25.14,4,0
ALTS,3,0,0.00,0,0.00,37.20,3,0
AMER,3,0,0.00,0,0.00,27.15,3,0
GSUS,3,0,0.00,0,0.00,53.20,3,0
LYFE,3,0,0.00,0,0.00,26.78,3,0
RESD,3,0,0.00,0,0.00,29.31,3,0
STMB,3,0,0.00,0,0.00,38.12,3,0
AESR,2,0,0.00,0,0.00,12.08,2,0
DBOC,2,0,0.00,0,0.00,27.49,2,0
GDVD,2,0,0.00,0,0.00,32.36,2,0
RVRS,2,0,0.00,0,0.00,19.32,2,0
TFLT,2,0,0.00,0,0.00,24.23,2,0
ADFI,1,0,0.00,0,0.00,9.90,1,0
DSJA,1,0,0.00,0,0.00,25.75,1,0
EGIS,1,0,0.00,0,0.00,27.58,1,0
FYLD,1,0,0.00,0,0.00,25.58,1,0
IBHF,1,0,0.00,0,0.00,25.48,1,0
NVMZ,1,0,0.00,0,0.00,27.78,1,0
RODE,1,0,0.00,0,0.00,27.78,1,0
RODI,1,0,0.00,0,0.00,99.36,1,0
SOVB,1,0,0.00,0,0.00,26.51,1,0
UFEB,1,0,0.00,0,0.00,26.16,1,0
UOCT,1,0,0.00,0,0.00,27.26,1,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
BMAR,0,0,0.00,0,0.00,0.00,0,0
BMAY,0,0,0.00,0,0.00,0.00,0,0
BNOV,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
DAUG,0,0,0.00,0,0.00,0.00,0,0
DECZ,0,0,0.00,0,0.00,0.00,0,0
DEFN,0,0,0.00,0,0.00,0.00,0,0
DFVL,0,0,0.00,0,0.00,0.00,0,0
DJUL,0,0,0.00,0,0.00,0.00,0,0
DJUN,0,0,0.00,0,0.00,0.00,0,0
DMAY,0,0,0.00,0,0.00,0.00,0,0
DOCT,0,0,0.00,0,0.00,0.00,0,0
DSEP,0,0,0.00,0,0.00,0.00,0,0
EMSH,0,0,0.00,0,0.00,0.00,0,0
ESHY,0,0,0.00,0,0.00,0.00,0,0
EURZ,0,0,0.00,0,0.00,0.00,0,0
FJUL,0,0,0.00,0,0.00,0.00,0,0
FLBL,0,0,0.00,0,0.00,0.00,0,0
FOCT,0,0,0.00,0,0.00,0.00,0,0
FSEP,0,0,0.00,0,0.00,0.00,0,0
FUNL,0,0,0.00,0,0.00,0.00,0,0
GSEE,0,0,0.00,0,0.00,0.00,0,0
GSID,0,0,0.00,0,0.00,0.00,0,0
HCRB,0,0,0.00,0,0.00,0.00,0,0
HYHG,0,0,0.00,0,0.00,0.00,0,0
JANZ,0,0,0.00,0,0.00,0.00,0,0
KAPR,0,0,0.00,0,0.00,0.00,0,0
KWT,0,0,0.00,0,0.00,0.00,0,0
MIG,0,0,0.00,0,0.00,0.00,0,0
MRGR,0,0,0.00,0,0.00,0.00,0,0
MSVX,0,0,0.00,0,0.00,0.00,0,0
NULC,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PAUG,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSFD,0,0,0.00,0,0.00,0.00,0,0
PSFF,0,0,0.00,0,0.00,0.00,0,0
PSMD,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
SFHY,0,0,0.00,0,0.00,0.00,0,0
SFIG,0,0,0.00,0,0.00,0.00,0,0
SLT,0,0,0.00,0,0.00,0.00,0,0
SPMV,0,0,0.00,0,0.00,0.00,0,0
STLC,0,0,0.00,0,0.00,0.00,0,0
STLG,0,0,0.00,0,0.00,0.00,0,0
TAEQ,0,0,0.00,0,0.00,0.00,0,0
TEGS,0,0,0.00,0,0.00,0.00,0,0
UDEC,0,0,0.00,0,0.00,0.00,0,0
UJUN,0,0,0.00,0,0.00,0.00,0,0
UMAR,0,0,0.00,0,0.00,0.00,0,0
UMAY,0,0,0.00,0,0.00,0.00,0,0
UNOV,0,0,0.00,0,0.00,0.00,0,0
USEQ,0,0,0.00,0,0.00,0.00,0,0
VWID,0,0,0.00,0,0.00,0.00,0,0
